class,precision,recall_sensitivity,f1,specificity,support
non_mi,0.0,0.0,0.0,1.0,80
stemi_proxy,0.8571428571428571,1.0,0.9230769230769231,0.99375,6
nstemi_proxy,0.5031446540880503,1.0,0.6694560669456067,0.08139534883720931,80
