class,precision,recall_sensitivity,f1,specificity,support
non_mi,0.9589807852965748,0.8803589232303091,0.9179895237714423,0.8877970749542962,13039
stemi_proxy,0.7496503496503496,0.8786885245901639,0.8090566037735849,0.9893484082118417,610
nstemi_proxy,0.6953488372093023,0.8733404142326076,0.77424670433145,0.8944244999633673,3766
